9 2905 6804
0 0 -0.0378681 -0.17917
1 0 -0.136686 -0.114982
0 1 0.40732 -0.136378
1 1 0.279978 -0.0670954
0 2 0.401208 -0.111925
1 2 0.276922 -0.0436615
0 3 0.418527 -0.084416
1 3 0.292203 -0.0171711
0 4 0.421583 -0.084416
1 4 0.295259 -0.0171711
0 5 0.411395 -0.0823783
1 5 0.287109 -0.0151334
0 6 0.427695 -0.077284
1 6 0.30239 -0.0100391
0 7 0.425658 -0.0752462
1 7 0.299334 -0.00800137
0 8 0.413433 -0.0742274
1 8 0.288128 -0.0069825
0 9 0.427695 -0.0732085
1 9 0.301372 -0.00596364
0 10 0.421583 0.0358097
1 10 0.299334 0.0989791
0 11 0.401208 0.0388663
1 11 0.279978 0.102036
0 12 0.405283 0.0398851
1 12 0.284053 0.103055
0 13 0.41547 0.040904
1 13 0.293222 0.104073
0 14 0.413433 0.0429417
1 14 0.292203 0.106111
0 15 0.368608 0.0673944
1 15 0.250435 0.128526
0 16 0.327859 0.0694321
1 16 0.212741 0.129545
0 17 0.361477 0.0724887
1 17 0.243304 0.13362
0 18 0.35129 0.0755453
1 18 0.235154 0.136677
0 19 0.398152 0.0755453
1 19 0.278959 0.137696
0 20 0.395096 0.0765642
1 20 0.275903 0.138715
0 21 0.393058 0.0826773
1 21 0.274885 0.143809
0 22 0.363515 0.0836962
1 22 0.24636 0.144828
0 23 0.382871 0.0867528
1 23 0.264697 0.147884
0 24 0.368608 0.0877716
1 24 0.251454 0.148903
0 25 0.396114 0.0877716
1 25 0.276922 0.149922
0 26 0.391021 0.0887905
1 26 0.272847 0.150941
0 27 0.0073639 -0.165314
1 27 -0.0941024 -0.101737
0 28 -0.0109734 -0.162868
1 28 -0.11244 -0.0992914
0 29 0.405894 -0.137193
1 29 0.279978 -0.0675029
0 30 0.409562 -0.117631
1 30 0.283646 -0.0491634
0 31 0.424232 -0.101737
1 31 0.298316 -0.0332691
0 32 0.426677 -0.0833971
1 32 0.300353 -0.0161523
0 33 0.434011 -0.0833971
1 33 0.308095 -0.0161522
0 34 0.420564 -0.0785066
1 34 0.294648 -0.0112617
0 35 0.413229 -0.077284
1 35 0.287313 -0.0100391
0 36 0.387557 -0.0699482
1 36 0.263678 -0.00392592
0 37 0.421787 0.0351984
1 37 0.299538 0.0987754
0 38 0.358217 0.0657643
1 38 0.240859 0.126896
0 39 0.372887 0.0669869
1 39 0.254306 0.129341
0 40 0.352105 0.0718774
1 40 0.235154 0.13362
0 41 0.355772 0.0804359
1 41 0.239636 0.141568
0 42 0.35944 0.0828811
1 42 0.243304 0.144013
0 43 0.382667 0.086549
1 43 0.265308 0.147681
0 44 -0.00534993 -0.141105
1 44 -0.106572 -0.0780176
0 45 0.390735 -0.0838862
1 45 0.267509 -0.0163968
0 46 0.411273 -0.0838862
1 46 0.28658 -0.0163968
0 47 0.424476 -0.0765504
1 47 0.298316 -0.00906096
0 48 0.421542 -0.0750832
1 48 0.295382 -0.0075938
0 49 0.42741 -0.0736161
1 49 0.301249 -0.00612663
0 50 0.386334 0.0158808
1 50 0.266042 0.0789687
0 51 0.396603 0.0232166
1 51 0.274844 0.0863045
0 52 0.415674 0.036421
1 52 0.293915 0.099509
0 53 0.414207 0.0422897
1 53 0.292448 0.105378
0 54 0.421542 0.0466912
1 54 0.299783 0.109779
0 55 0.367264 0.0598956
1 55 0.248438 0.121516
0 56 0.362863 0.0628299
1 56 0.245504 0.124451
0 57 0.358462 0.0657643
1 57 0.241103 0.127385
0 58 0.354061 0.0672314
1 58 0.236702 0.128852
0 59 0.393669 0.0775015
1 59 0.274844 0.139122
0 60 0.368731 0.0863045
1 60 0.251372 0.147925
0 61 0.380467 0.0877717
1 61 0.261641 0.149392
0 62 -0.0484792 -0.184533
1 62 -0.147647 -0.120565
0 63 -0.015032 -0.121152
1 63 -0.115374 -0.0595313
0 64 0.403938 -0.091222
1 64 0.278951 -0.0243194
0 65 0.388095 -0.0771372
1 65 0.264868 -0.0102347
0 66 0.423303 -0.0771372
1 66 0.298316 -0.0102347
0 67 -0.0960095 -0.0489677
1 67 -0.194591 0.00913185
0 68 0.402178 -0.0489677
1 68 0.278951 0.0161742
0 69 0.423303 0.0355408
1 69 0.301836 0.0989221
0 70 0.338804 0.0390619
1 70 0.220859 0.100683
0 71 0.414501 0.0425831
1 71 0.293034 0.105965
0 72 0.423303 0.0443437
1 72 0.301836 0.107725
0 73 0.36697 0.0601891
1 73 0.249025 0.12181
0 74 0.354648 0.0672314
1 74 0.236702 0.128852
0 75 0.398657 0.0760344
1 75 0.278951 0.137655
0 76 0.391616 0.0813162
1 76 0.273377 0.143524
0 77 0.389855 0.0918797
1 77 0.27191 0.1535
0 78 0.396193 -0.106715
1 78 0.271558 -0.0391084
0 79 0.40253 -0.0982643
1 79 0.277895 -0.0306575
0 80 0.398305 -0.0961516
1 80 0.27367 -0.0285448
0 81 0.40253 -0.0919262
1 81 0.277895 -0.0243194
0 82 0.41098 -0.0834753
1 82 0.286345 -0.0158686
0 83 0.396193 0.0115967
1 83 0.275783 0.0749781
0 84 0.38563 0.0158221
1 84 0.26522 0.0792035
0 85 0.337044 0.039062
1 85 0.220859 0.100331
0 86 0.381405 0.0792035
1 86 0.263108 0.140472
0 87 0.305357 0.0483579
1 87 0.191285 0.109204
0 88 0.353521 0.06864
1 88 0.236914 0.129486
0 89 0.353521 0.078781
1 89 0.236914 0.139627
0 90 0.386475 0.0914573
1 90 0.267333 0.152303
0 91 0.00217756 -0.167139
1 91 -0.0982064 -0.10325
0 92 -0.0130321 -0.164096
1 92 -0.113416 -0.100208
0 93 0.403713 -0.0497057
1 93 0.279602 0.0160081
2 3 0.461314 0.00320611
0 94 0.421583 -0.0813594
2 94 0.46437 0.0062627
2 18 0.395096 0.160111
0 95 0.43992 0.0898094
2 95 0.476595 0.171318
0 96 0.435234 -0.127412
2 96 0.476595 -0.0375484
0 97 0.452349 -0.0895103
2 97 0.491876 -0.000869334
0 98 0.413229 -0.0846198
2 98 0.456016 0.0034099
0 99 0.456016 -0.0833971
2 99 0.494932 0.00422497
2 34 0.463351 0.00952307
0 100 0.407117 -0.077284
2 100 0.451126 0.0107457
2 35 0.456016 0.0107457
0 101 0.41274 -0.0765504
2 101 0.455283 0.0114793
2 48 0.463351 0.013191
0 102 0.423009 0.0393553
2 102 0.462618 0.122984
0 103 0.41274 -0.0753766
2 103 0.454989 0.012653
0 104 -0.0696038 0.0513861
2 104 -0.0308754 0.142937
0 105 0.379293 0.0725132
2 105 0.421542 0.155261
0 106 0.434217 -0.0982643
2 106 0.476114 -0.0102347
2 82 0.453229 0.00525857
0 107 0.341269 0.0432874
2 107 0.38563 0.127796
0 108 -0.117134 0.0601891
2 108 -0.0819264 0.1535
2 89 0.396615 0.162444
0 109 0.345308 0.0415635
2 109 0.389112 0.125531
0 110 0.434826 -0.382943
3 110 0.42362 -0.327924
0 111 0.468445 -0.380905
3 111 0.455201 -0.325886
0 112 0.426676 -0.371735
3 112 0.416489 -0.317735
0 113 0.426676 -0.369697
3 113 0.416489 -0.315698
0 114 0.297297 -0.31366
3 114 0.295259 -0.262717
0 115 0.297297 -0.297358
3 115 0.296278 -0.246415
0 116 0.291184 -0.296339
3 116 0.291184 -0.245396
0 117 0.296278 -0.290226
3 117 0.295259 -0.240302
0 118 0.295259 -0.258641
3 118 0.295259 -0.210755
0 119 -0.304777 -0.231132
3 119 -0.275234 -0.177132
0 120 -0.254859 -0.230113
3 120 -0.228372 -0.177132
0 121 -0.247728 -0.224
3 121 -0.22226 -0.171019
0 122 -0.320059 -0.216868
3 122 -0.290515 -0.163887
0 123 -0.332283 -0.21483
3 123 -0.301721 -0.161849
0 124 -0.088805 -0.212793
3 124 -0.069449 -0.162868
0 125 -0.311909 -0.210755
3 125 -0.282365 -0.157774
0 126 -0.255878 -0.202604
3 126 -0.228372 -0.150642
0 127 -0.266065 -0.199547
3 127 -0.23856 -0.147585
0 128 -0.28644 -0.185283
3 128 -0.258934 -0.133321
0 129 0.425658 -0.174076
3 129 0.419545 -0.132303
0 130 0.373702 -0.163887
3 130 0.370646 -0.123133
0 131 0.379815 -0.163887
3 131 0.376758 -0.123133
0 132 0.420564 -0.163887
3 132 0.41547 -0.123133
0 133 -0.275234 -0.15268
3 133 -0.248747 -0.102756
0 134 0.320728 -0.14351
3 134 0.320728 -0.102756
0 135 0.307484 -0.142491
3 135 0.308503 -0.101737
0 136 -0.0134184 -0.141472
3 136 0.00390016 -0.0966423
0 137 0.427695 -0.141472
3 137 0.42362 -0.101737
0 138 0.306465 -0.140453
3 138 0.307484 -0.0996989
3 1 0.403246 -0.0966423
0 139 0.408339 -0.13434
3 139 0.404264 -0.0946046
0 140 0.325821 -0.132303
3 140 0.325821 -0.0925669
0 141 0.325821 -0.129246
3 141 0.325821 -0.0895103
0 142 0.481688 -0.128227
3 142 0.474557 -0.0895103
0 143 -0.0154559 -0.121095
3 143 0.000843949 -0.077284
0 144 -0.0765801 -0.120076
3 144 -0.0572241 -0.0752462
0 145 -0.0959362 -0.118038
3 145 -0.0755614 -0.0732085
0 146 0.402227 -0.116001
3 146 0.399171 -0.077284
0 147 0.462332 -0.114982
3 147 0.457239 -0.077284
0 148 -0.33534 -0.111925
3 148 -0.306815 -0.0630199
0 149 0.470482 -0.10785
3 149 0.46437 -0.0701519
0 150 0.395096 -0.105812
3 150 0.393058 -0.0681142
0 151 0.414452 -0.104793
3 151 0.411395 -0.0670954
0 152 0.438901 -0.100718
3 152 0.434826 -0.0630199
0 153 0.398152 -0.0956235
3 153 0.396114 -0.0579256
0 154 0.410377 -0.0956235
3 154 0.40732 -0.0579256
0 155 0.451126 -0.0956235
3 155 0.447051 -0.0589445
0 156 0.373702 -0.084416
3 156 0.373702 -0.047737
3 3 0.416489 -0.047737
3 94 0.419545 -0.0446804
0 157 0.445014 -0.0803406
3 157 0.440939 -0.0446804
0 158 0.459276 -0.0783028
3 158 0.455201 -0.0426427
0 159 0.420564 -0.077284
3 159 0.418527 -0.0416238
0 160 0.387964 -0.0752462
3 160 0.386946 -0.0385672
0 161 0.400189 -0.0752462
3 161 0.398152 -0.0385672
3 8 0.411395 -0.0375484
3 9 0.424639 -0.0375484
0 162 0.289147 -0.0681142
3 162 0.293222 -0.0314352
0 163 0.382871 -0.0650576
3 163 0.382871 -0.0283786
0 164 0.450107 -0.0528313
3 164 0.446033 -0.01819
0 165 0.35129 -0.0344918
3 165 0.353327 0.000149528
0 166 0.361477 -0.0273597
3 166 0.362496 0.00728156
0 167 0.417508 -0.025322
3 167 0.41547 0.00830042
0 168 0.410377 -0.0222654
3 168 0.410377 0.011357
0 169 0.328878 -0.0151334
3 169 0.331323 0.0193041
0 170 0.332953 0.0144136
3 170 0.337028 0.0470172
0 171 0.284053 0.0174702
3 171 0.289147 0.0510926
0 172 0.355365 0.0266399
3 172 0.358421 0.0592435
0 173 0.289147 0.0276588
3 173 0.294241 0.0602624
0 174 0.358421 0.0286777
3 174 0.361477 0.0612812
0 175 0.289147 0.0317342
3 175 0.294241 0.0643378
0 176 0.297297 0.0358097
3 176 0.30239 0.0684133
3 10 0.422602 0.0663755
3 13 0.416489 0.0714699
3 14 0.414452 0.0735076
0 177 0.463351 0.0429417
3 177 0.461314 0.0724887
0 178 0.459276 0.0470172
3 178 0.457239 0.0765642
0 179 0.469463 0.048036
3 179 0.468445 0.077583
0 180 0.477613 0.048036
3 180 0.474557 0.0765642
0 181 0.485763 0.0541492
3 181 0.482707 0.0826773
0 182 0.467426 0.0623001
3 182 0.465389 0.0918471
0 183 0.379815 0.0765642
3 183 0.382871 0.10713
3 20 0.398152 0.106111
0 184 0.44807 0.0786019
3 184 0.44807 0.10713
0 185 0.366571 0.0816585
3 185 0.370646 0.111205
0 186 0.380833 0.0816585
3 186 0.383889 0.111205
3 24 0.372683 0.117319
3 25 0.399171 0.117319
0 187 0.446033 0.0877716
3 187 0.446033 0.1163
3 95 0.440939 0.118337
0 188 0.421583 0.102036
3 188 0.42362 0.129545
0 189 0.434011 -0.382943
3 189 0.423009 -0.327924
0 190 0.299538 -0.31203
3 190 0.298316 -0.260679
0 191 0.308095 -0.263124
3 191 0.307484 -0.21483
0 192 0.297093 -0.253343
3 192 0.297093 -0.205661
0 193 -0.253026 -0.221555
3 193 -0.226864 -0.168982
0 194 -0.30926 -0.220332
3 194 -0.280328 -0.166944
0 195 -0.316595 -0.214219
3 195 -0.287255 -0.160423
0 196 -0.2897 -0.214219
3 196 -0.260972 -0.160831
0 197 -0.255471 -0.203215
3 197 -0.228576 -0.150642
0 198 -0.325152 -0.197102
3 198 -0.295813 -0.144529
0 199 0.332545 -0.194657
3 199 0.331934 -0.151661
0 200 -0.232243 -0.178763
3 200 -0.206571 -0.128635
0 201 0.475576 -0.178763
3 201 0.467019 -0.138416
0 202 0.431566 -0.176317
3 202 0.426677 -0.134748
0 203 0.314208 -0.156755
3 203 0.314452 -0.114697
0 204 0.30076 -0.155533
3 204 0.30239 -0.112944
0 205 -0.273808 -0.142084
3 205 -0.246709 -0.0935858
0 206 0.314208 -0.140861
3 206 0.31543 -0.100514
0 207 -0.33371 -0.137193
3 207 -0.304614 -0.0882877
0 208 0.294648 -0.13597
3 208 0.297297 -0.0946046
0 209 0.292203 -0.132303
3 209 0.295259 -0.091548
3 96 0.430344 -0.0882877
0 210 0.295871 -0.126189
3 210 0.298316 -0.0858424
0 211 -0.0867675 -0.124967
3 211 -0.0672077 -0.0797292
0 212 0.412007 -0.123744
3 212 0.408339 -0.0846198
0 213 -0.0953249 -0.118854
3 213 -0.0757651 -0.0736161
0 214 0.445014 -0.115186
3 214 0.440124 -0.077284
0 215 0.451126 -0.110295
3 215 0.446236 -0.0723934
0 216 0.414452 -0.105405
3 216 0.410784 -0.0675029
0 217 0.398559 -0.0956235
3 217 0.396114 -0.0577218
0 218 0.409562 -0.0956235
3 218 0.407117 -0.0577218
0 219 0.441346 -0.0919556
3 219 0.437679 -0.0552765
0 220 0.457239 -0.0882877
3 220 0.452349 -0.0528313
0 221 0.443791 -0.087065
3 221 0.440124 -0.050386
3 32 0.424232 -0.0467181
0 222 0.452349 -0.0833971
3 222 0.448681 -0.0479407
3 99 0.452145 -0.047737
0 223 0.382667 -0.0821745
3 223 0.382667 -0.0454955
0 224 0.473131 -0.0809518
3 224 0.467426 -0.0456993
3 34 0.418119 -0.0418276
3 100 0.405894 -0.0406049
3 35 0.410784 -0.0406049
0 225 0.419342 -0.0748387
3 225 0.417508 -0.0385672
0 226 0.402227 -0.0736161
3 226 0.401004 -0.036937
